fips,month,successes,trials,comm_mask_prop_most
1105,2020-11-01,2,2,1
1105,2020-12-01,1,8,0.125
1105,2021-01-01,7,13,0.5384615384615384
1105,2021-02-01,14,18,0.7777777777777778
1105,2021-03-01,8,11,0.7272727272727273
1105,2021-04-01,4,9,0.4444444444444444
1105,2021-05-01,4,8,0.5
1107,2020-11-01,9,9,1
1107,2020-12-01,48,63,0.7619047619047619
1107,2021-01-01,41,55,0.7454545454545455
1107,2021-02-01,23,39,0.5897435897435898
1107,2021-03-01,40,46,0.8695652173913043
1107,2021-04-01,16,24,0.6666666666666666
1107,2021-05-01,7,19,0.3684210526315789
1109,2020-11-01,9,18,0.5
1109,2020-12-01,59,98,0.6020408163265306
1109,2021-01-01,88,131,0.6717557251908397
1109,2021-02-01,57,76,0.75
1109,2021-03-01,51,89,0.5730337078651685
1109,2021-04-01,33,70,0.4714285714285714
1109,2021-05-01,7,45,0.15555555555555556
1111,2020-11-01,2,8,0.25
1111,2020-12-01,17,44,0.38636363636363635
1111,2021-01-01,31,51,0.6078431372549019
1111,2021-02-01,22,31,0.7096774193548387
1111,2021-03-01,2,32,0.0625
1111,2021-04-01,5,30,0.16666666666666666
1111,2021-05-01,1,15,0.06666666666666667
1113,2020-11-01,31,43,0.7209302325581395
1113,2020-12-01,108,192,0.5625
1113,2021-01-01,165,248,0.6653225806451613
1113,2021-02-01,115,197,0.583756345177665
1113,2021-03-01,93,171,0.543859649122807
1113,2021-04-01,95,150,0.6333333333333333
1113,2021-05-01,39,110,0.35454545454545455
1115,2020-11-01,19,29,0.6551724137931034
1115,2020-12-01,101,167,0.6047904191616766
1115,2021-01-01,128,187,0.6844919786096256
1115,2021-02-01,81,141,0.574468085106383
1115,2021-03-01,87,155,0.5612903225806452
1115,2021-04-01,44,123,0.35772357723577236
1115,2021-05-01,31,84,0.36904761904761907
1117,2020-11-01,45,67,0.6716417910447762
1117,2020-12-01,343,457,0.75054704595186
1117,2021-01-01,362,506,0.7154150197628458
1117,2021-02-01,277,415,0.6674698795180722
1117,2021-03-01,308,422,0.7298578199052133
1117,2021-04-01,185,346,0.5346820809248555
1117,2021-05-01,60,230,0.2608695652173913
1119,2020-11-01,9,9,1
1119,2020-12-01,26,34,0.7647058823529411
1119,2021-01-01,43,44,0.9772727272727273
1119,2021-02-01,29,33,0.8787878787878788
1119,2021-03-01,31,41,0.7560975609756098
1119,2021-04-01,24,28,0.8571428571428571
1119,2021-05-01,8,12,0.6666666666666666
1121,2020-11-01,26,37,0.7027027027027027
1121,2020-12-01,116,181,0.6408839779005525
1121,2021-01-01,96,177,0.5423728813559322
1121,2021-02-01,90,141,0.6382978723404256
1121,2021-03-01,63,127,0.49606299212598426
1121,2021-04-01,56,110,0.509090909090909
1121,2021-05-01,15,64,0.234375
1123,2020-11-01,12,18,0.6666666666666666
1123,2020-12-01,57,80,0.7125
1123,2021-01-01,51,80,0.6375
1123,2021-02-01,56,76,0.7368421052631579
1123,2021-03-01,37,69,0.5362318840579711
1123,2021-04-01,18,56,0.32142857142857145
1123,2021-05-01,12,31,0.3870967741935484
1125,2020-11-01,99,158,0.6265822784810127
1125,2020-12-01,593,784,0.7563775510204082
1125,2021-01-01,540,743,0.7267833109017496
1125,2021-02-01,432,593,0.7284991568296796
1125,2021-03-01,434,655,0.6625954198473283
1125,2021-04-01,281,504,0.5575396825396826
1125,2021-05-01,116,351,0.33048433048433046
1127,2020-11-01,13,24,0.5416666666666666
