"fips","month","mask_grocery_very_prop","mask_grocery_some_prop","mask_grocery_very_suc","mask_grocery_some_suc","total_obs","mask_grocery_some_only_prop","mask_grocery_notso_only_prop","mask_grocery_notatall_only_prop"
1015,2020-11-01,0.467437526249474,0.54495222595548,12,13,15,0.0775146997060057,0,0.123438156236875
1015,2020-12-01,0.699786742901504,0.71608408740916,25,26,29,0.0162973445076553,0.0350394696651521,0.0178679380957835
1015,2021-01-01,0.836623455030898,0.921986560268793,28,32,34,0.0853631052378951,0,0.0244645107097857
1015,2021-02-01,0.783122900041998,0.783122900041998,35,35,38,0,0.0718356257874841,0
1015,2021-03-01,0.838345233095337,0.889857202855941,32,34,34,0.0515119697606047,0,0
1015,2021-04-01,0.662654215665686,0.748299034019318,30,34,36,0.0856448183536328,0.0734145317093657,0
1015,2021-05-01,0.709169504109916,0.890071323573527,25,32,34,0.18090181946361,0,0.0421394072118557
1015,2021-06-01,0.498882209855802,0.639850640487189,13,17,22,0.140968430631387,0.0819246115077697,0.109781866862662
1017,2020-06-01,0.657816559814276,0.730165621204433,9,10,13,0.0723490613901572,0.0823953000322862,0.139747551619698
1017,2020-07-01,0.771834315066013,0.772301499801867,14,14,15,0.000467184735854643,0.000233592367927321,0.0158971757145273
1017,2020-08-01,0.657818583362499,0.730721124758191,9,10,10,0.0729025413956921,0.000425962553279233,0
1017,2020-09-01,0.684657841735467,0.751841089740632,10,11,11,0.0671832480051658,0.00319788447642329,0
1017,2020-10-01,0.673062435619513,0.793644204603108,7,8,8,0.120581768983595,0,0
1017,2020-11-01,0.747290254139569,0.747290254139569,4,4,4,0,0,0
1017,2020-12-01,0.912780775794474,0.912780775794474,6,6,6,0,0,0
1017,2021-01-01,0.803400547609762,0.938425349384252,10,11,11,0.13502480177449,0.0042894700428947,0
1017,2021-02-01,0.744822655781559,0.828801715788016,6,6,7,0.0839790600064572,0,0.0839790600064572
1017,2021-03-01,0.950878649508786,0.950878649508786,16,16,16,0,0,0
1017,2021-04-01,0.625447780698922,0.858001629691126,5,7,8,0.232553848992205,0.11197208000861,0.00479682671463493
1017,2021-05-01,0.289608412896084,0.55229232968959,3,5,6,0.262683916793506,0,0.169768460864351
1017,2021-06-01,0.455023984133573,0.546492320464922,3,4,6,0.0914683363313499,0.185116000184493,0.171578801715788
1019,2020-06-01,0.515737036647131,0.760312489033931,8,10,13,0.2445754523868,0.0501729226858188,0.093285160621196
1019,2020-07-01,0.504732599887352,0.530764535554512,3,3,4,0.0260319356671604,0.219431480116815,0.00299730292361094
1019,2020-08-01,0.96860195810085,0.970400393023824,15,15,15,0.00179843492297434,0,0
1019,2020-09-01,0.60548781849445,0.689204126750183,6,7,7,0.0837163082557335,0,0
1019,2020-10-01,0.722713502006058,0.723655121591745,2,2,2,0.00094161958568738,0,0
1019,2020-11-01,0.417986981085727,0.625890444608203,2,3,3,0.207903463522476,0.0015966592974699,0.0961680176860722
1019,2020-12-01,0.453135417763272,0.660736217847492,3,4,4,0.207600800084219,0,0.000403551251008877
1019,2021-01-01,0.423895497771693,0.424097273397198,3,3,3,0.000201775625504439,0,0
1019,2021-02-01,0.463051666257266,0.465845820027838,4,4,7,0.00279415377057232,0.252220994022762,0.00558830754114465
1019,2021-03-01,0.751989683124538,0.895492507983294,5,6,7,0.143502824858756,0.000319331859493981,0.104126750184229
1019,2021-04-01,0.388424220093341,0.41246622451486,3,3,3,0.024042004421518,0.000638663718987962,0
1019,2021-05-01,0.318871284696635,0.31966961434537,2,2,4,0.000798329648734953,0.219080078604765,0
1019,2021-06-01,0.513540899042004,0.545596904937362,3,3,4,0.0320560058953574,0,0.143607221812822
1021,2020-06-01,0.499521346176714,0.628192016490267,12,15,17,0.128670670313553,0.106655567447576,0
1021,2020-07-01,0.610520313933323,0.624243785618502,8,9,9,0.0137234716851794,0.00194596698342685,0.0117775047017525
1021,2020-08-01,0.684412203855656,0.694124020559981,13,13,16,0.00971181670432472,0.0579207462903502,0.0893949604259985
1021,2020-09-01,0.66171165814405,0.821342212708604,10,12,12,0.159630554564554,0,0
1021,2020-10-01,0.743568398937644,0.743568398937644,5,5,5,0,0,0
1021,2020-11-01,0.609201781160395,0.609201781160395,9,9,9,0,0,0.0176662570526288
1021,2020-12-01,0.691230295582773,0.814207000436039,7,8,8,0.122976704853265,0,0.0071352122725651
1021,2021-01-01,0.734847583937843,0.734847583937843,5,5,5,0,0,0.00515320886351924
1021,2021-02-01,0.743974709636499,0.818141277202995,15,16,18,0.0741665675664959,0.0434405597177626,0.0434405597177626
1021,2021-03-01,0.453105799341974,0.453105799341974,4,4,5,0,0.17376223887105,0
1021,2021-04-01,0.770520041658106,0.834383795140126,8,9,10,0.0638637534820195,0.0619177864985927,0
1021,2021-05-01,0.628419663738963,0.688649915906425,7,9,10,0.0602302521674622,0.0496463539631573,0.0071352122725651
1021,2021-06-01,0.134766321798073,0.50089190153407,2,3,3,0.366125579735996,0,0.00535140920442382
1023,2020-06-01,0.481354688837265,0.481354688837265,2,2,2,0,0,0
1023,2020-07-01,0.797652524758526,0.797652524758526,10,10,10,0,0,0
1023,2020-08-01,0.328891062477073,0.328891062477073,4,4,4,0,0,0
1023,2020-09-01,0.336960508619636,0.481354688837265,1,2,2,0.14439418021763,0,0
1023,2020-10-01,0.14072625015283,0.14072625015283,1,1,1,0,0,0
1023,2020-11-01,0.370705465215796,0.370705465215796,3,3,3,0,0,0
1023,2020-12-01,0.586929942535761,0.586929942535761,7,7,8,0,0,0.164017606064311
1023,2021-01-01,0.328035212128622,0.613155642499081,1,4,4,0.285120430370459,0,0
1023,2021-02-01,0.149651546643843,0.149651546643843,2,2,2,0,0,0
1023,2021-03-01,0.477686758772465,0.477686758772465,4,4,4,0,0.0178505929820271,0
1023,2021-04-01,0.14072625015283,0.14072625015283,1,1,1,0,0,0
1023,2021-05-01,0.0820393691160288,0.410074581244651,1,3,3,0.328035212128622,0,0
1023,2021-06-01,0.135468883726616,0.135468883726616,1,1,1,0,0,0
1025,2020-06-01,0.478244078269824,0.478244078269824,4,4,7,0,0,0.365859938208032
1025,2020-07-01,0.662911946446961,0.662911946446961,6,6,6,0,0,0
1025,2020-08-01,0.550463439752831,0.550463439752831,5,5,6,0,0.293640576725025,0
1025,2020-09-01,0.686180484037074,0.709513388259525,7,8,8,0.023332904222451,0,0
1025,2020-10-01,0.293640576725025,0.293640576725025,1,1,2,0,0.369207003089598,0
1025,2020-11-01,0.478244078269824,0.478244078269824,2,2,3,0,0,0.184603501544799
1025,2020-12-01,0.844104016477856,0.844104016477856,7,7,7,0,0,0
1025,2021-01-01,0.662847579814623,0.662847579814623,2,2,2,0,0,0
1025,2021-02-01,0.550463439752831,0.550463439752831,2,2,2,0,0,0
1025,2021-03-01,0.293640576725025,0.293640576725025,2,2,2,0,0,0
1025,2021-04-01,0.384268795056642,0.75347579814624,3,4,5,0.369207003089598,0,0.0906282183316165
1025,2021-05-01,0,0,0,0,2,0,0,0.550463439752831
1025,2021-06-01,0.788641434946789,0.886521627188464,7,8,8,0.097880192241675,0,0
1027,2020-06-01,0.417321561398402,0.417321561398402,2,2,3,0,0.0525532809417547,0.3765402153876
1027,2020-07-01,0.14805472009314,0.14805472009314,1,1,3,0,0.0701465023770253,0.331037159212185
1027,2020-08-01,0.380550434979463,0.388021085993337,3,3,5,0.00747065101387405,0.322887358106141,0.12337893341095
1027,2020-09-01,0.0611881892564922,0.0611881892564922,0,0,1,0,0.00498043400924937,0
1027,2020-10-01,0.0597652081109924,0.0597652081109924,0,0,0,0,0,0
1027,2020-11-01,0.367711264189385,0.367711264189385,1,1,1,0,0,0
1027,2020-12-01,0.386242359561463,0.448659487079977,4,4,5,0.0624171275185149,0,0.0312085637592574
1027,2021-01-01,0.370524885999805,0.370524885999805,1,1,1,0,0,0
1027,2021-02-01,0.384075547362633,0.389055981371883,1,1,2,0.00498043400924937,0,0.0936256912777723
1027,2021-03-01,0.403987581255457,0.412952362472106,2,2,3,0.00896478121664886,0.0468128456388862,0.00448239060832443
1027,2021-04-01,0.786528572814591,0.838944406713883,3,4,4,0.0524158338992917,0,0.00747065101387405
1027,2021-05-01,0.0953720772290675,0.11778403027069,1,1,1,0.0224119530416221,0,0
1027,2021-06-01,0.211962743766372,0.494615309983506,1,3,3,0.282652566217134,0,0
1029,2020-06-01,0.124402303008887,0.124646289581212,2,2,3,0.000243986572325192,0,0.0618351716459556
1029,2020-07-01,0.677194674515028,0.683732214411422,2,2,2,0.00653753989639364,0,0.000288347767293408
1029,2020-08-01,0.485184476284224,0.671661380290932,3,4,4,0.186476904006708,0,0
1029,2020-09-01,0.629115170075466,0.629115170075466,4,4,5,0,0.13956031937001,0
1029,2020-10-01,0.306135841627474,0.306135841627474,1,1,2,0,0,0.27912063874002
1029,2020-11-01,0.559827190200153,0.744722738707207,1,2,2,0.184895548507054,0,0.0238433774472273
1029,2020-12-01,0.0270152028874548,0.0270152028874548,0,0,0,0,0,0
1029,2021-01-01,0.306245214918517,0.306245214918517,1,1,3,0,0,0.377775347260199
1029,2021-02-01,0.756753800721863,0.756753800721863,3,3,3,0,0.0119216887236136,0
1029,2021-03-01,0.41139669692661,0.41139669692661,4,4,7,0,0,0.272623865252105
1029,2021-04-01,0.578978453461664,0.67155200699989,3,4,4,0.0925735535382259,0,0
1029,2021-05-01,0.584459617818471,0.585365853658536,1,1,1,0.000906235840064997,0,0
1029,2021-06-01,0.0180101352583032,0.0728608407160304,0,0,2,0.0548507054577272,0,0.74207955084035
1031,2020-06-01,0.375405756663032,0.526039260614347,7,10,20,0.150633503951315,0.22735231073415,0.231377540021311
1031,2020-07-01,0.547212521019272,0.709473224679859,8,10,12,0.162260703660587,0,0.123633747251326
1031,2020-08-01,0.761201655671969,0.847037899366187,17,19,20,0.085836243694218,0,0.050549734833786
1031,2020-09-01,0.705763322985382,0.833106971931185,5,6,6,0.127343648945803,0,0
1031,2020-10-01,0.725084077092225,0.761916310955891,7,8,10,0.0368322338636657,0.106082654249127,0.0775126115638339
1031,2020-11-01,0.82715690078903,0.82715690078903,9,9,9,0,0,0
1031,2020-12-01,0.702369788298193,0.70248835855646,12,12,13,0.000118570258267581,0.0551109170870521,0.00206958996248868
1031,2021-01-01,0.747049217436295,0.800995990169447,13,14,14,0.0539467727331522,0,0
1031,2021-02-01,0.70965108006726,0.781925042038545,9,10,11,0.0722739619712844,8.89276937006855e-05,0.0707217694994179
1031,2021-03-01,0.607729163971887,0.942806019057473,5,6,6,0.335076855085586,0,0.000118570258267581
1031,2021-04-01,0.536038891044711,0.801668606907255,6,9,9,0.265629715862544,0.00124175397749321,0.00248350795498642
1031,2021-05-01,0.532951752683998,0.537090932608976,3,3,4,0.00413917992497736,0.318425818134782,0
1031,2021-06-01,0.338022248092097,0.656270210839477,2,4,5,0.31824796274738,0,0.166779847367739
1033,2020-06-01,0.703775128883554,0.705275360737568,11,11,15,0.0015002318540138,0.0792886173317693,0.215436021930662
1033,2020-07-01,0.78888850709041,0.869396817052363,22,25,28,0.0805083099619527,0.00400061827737013,0.126602564670266
1033,2020-08-01,0.801989398361564,0.866584835838265,17,18,19,0.0645954374767009,0,0.0626042206522826
1033,2020-09-01,0.857314312211886,0.857314312211886,16,16,17,0,0,0.0708109435094514
1033,2020-10-01,0.659392815253266,0.815880636098305,4,5,5,0.15648782084504,0,0
1033,2020-11-01,0.767109462371456,0.772673958702707,11,11,12,0.00556449633125117,0,0.15648782084504
1033,2020-12-01,0.683801782353376,0.798310388228829,14,16,17,0.114508605875453,0,0.0447108059557256
1033,2021-01-01,0.895249720411335,0.942718420119472,17,18,19,0.0474686997081366,0.0572543029377267,0
1033,2021-02-01,0.927961594064536,0.929161779547747,11,11,11,0.00120018548321104,0,0
1033,2021-03-01,0.994217288126345,0.996999536291971,18,18,18,0.00278224816562558,0.0030004637080276,0
1033,2021-04-01,0.868421483320148,0.920733204222469,12,13,13,0.0523117209023211,0,0
1033,2021-05-01,0.408481310748024,0.473845958011692,6,7,14,0.0653646472636679,0.345307911222643,0.16412536482911
1033,2021-06-01,0.182200885591409,0.665216442541119,2,7,10,0.48301555694971,0,0.318062791522326
1035,2020-06-01,0.858848005364397,0.869411667567404,2,2,2,0.0105636622030064,0.00161757641265838,0.000135110790848496
1035,2020-07-01,0.446169609079445,0.606338447526971,3,4,5,0.160168838447527,0.00423847554995093,0.150246952501051
1035,2020-08-01,0.634699453551912,0.63478352248844,4,4,4,8.40689365279528e-05,0,4.20344682639764e-05
1035,2020-09-01,0.712772640231656,0.718631778058007,3,3,3,0.00585913782635092,0,0.00278478352248844
1035,2020-10-01,0.0708280790248001,0.076397646069777,1,1,2,0.00556956704497688,0.600672551492223,0
1035,2020-11-01,0.871759843071317,0.880622110130305,2,2,2,0.00886226705898836,0,0
1035,2020-12-01,0.711872826626924,0.71237915090374,4,4,4,0.00050632427681608,5.25430853299705e-05,0.0063577133249264
1035,2021-01-01,0.719052122740646,0.719104665825976,4,4,4,5.25430853299705e-05,0,0
1035,2021-02-01,0.627180538041193,0.63159415720891,1,1,1,0.0044136191677175,0,0.00890605296342999
1035,2021-03-01,0.410904441642146,0.719489981785063,2,3,3,0.308585540142917,0,0.00423847554995093
1035,2021-04-01,0.93193919013591,0.933025080566062,4,4,4,0.00108589043015272,0.00430853299705757,0.00087571808883284
1035,2021-05-01,0.699611181168557,0.702185792349726,3,3,3,0.00257461118116855,0.000315258511979823,0.000525430853299704
1035,2021-06-01,0.0203604455653636,0.0206757040773434,0,0,1,0.000315258511979823,0.250026271542664,0
1037,2020-06-01,0.255709188958124,0.269051181296548,2,2,4,0.0133419923384245,0.0807260411357544,0.243961988063725
